"Source","Target","Weight"
"American","Austrian",10
"American","Belgian",5
"American","Brazilian",1
"American","British",16
"American","Czech",4
"American","Danish",2
"American","Dutch",10
"American","English",5
"American","Finnish",1
"American","Flemish",2
"American","French",23
"American","Georgian",1
"American","German",20
"American","Greek",1
"American","Hungarian",2
"American","Israeli",2
"American","Italian",14
"American","Japanese",1
"American","Latvian",1
"American","Mexican",6
"American","Milanese",1
"American","Netherlandish",1
"American","Norwegian",2
"American","Polish",2
"American","Romanian",1
"American","Russian",5
"American","Russian-Lithuanian",1
"American","Scottish",2
"American","Spanish",16
"American","Swedish",6
"American","Swiss",7
"American","Ukrainian",1
"American","Yugoslav",1
"Austrian","American",10
"Austrian","Belgian",3
"Austrian","Brazilian",1
"Austrian","British",6
"Austrian","Czech",2
"Austrian","Danish",2
"Austrian","Dutch",5
"Austrian","English",3
"Austrian","Finnish",1
"Austrian","Flemish",1
"Austrian","French",10
"Austrian","German",10
"Austrian","Hungarian",2
"Austrian","Israeli",2
"Austrian","Italian",6
"Austrian","Mexican",3
"Austrian","Milanese",1
"Austrian","Netherlandish",1
"Austrian","Norwegian",1
"Austrian","Polish",1
"Austrian","Romanian",1
"Austrian","Russian",4
"Austrian","Russian-Lithuanian",1
"Austrian","Scottish",1
"Austrian","Spanish",6
"Austrian","Swedish",4
"Austrian","Swiss",4
"Austrian","Ukrainian",1
"Austrian","Yugoslav",1
"Belgian","American",5
"Belgian","Austrian",3
"Belgian","British",5
"Belgian","Czech",1
"Belgian","Danish",2
"Belgian","Dutch",3
"Belgian","English",1
"Belgian","Flemish",1
"Belgian","French",5
"Belgian","Georgian",1
"Belgian","German",4
"Belgian","Hungarian",1
"Belgian","Israeli",1
"Belgian","Italian",3
"Belgian","Latvian",1
"Belgian","Mexican",2
"Belgian","Milanese",1
"Belgian","Netherlandish",1
"Belgian","Norwegian",1
"Belgian","Polish",2
"Belgian","Romanian",1
"Belgian","Russian",4
"Belgian","Scottish",1
"Belgian","Spanish",4
"Belgian","Swedish",2
"Belgian","Swiss",3
"Brazilian","American",1
"Brazilian","Austrian",1
"Brazilian","British",1
"Brazilian","Dutch",1
"Brazilian","English",1
"Brazilian","French",1
"Brazilian","German",1
"Brazilian","Hungarian",1
"Brazilian","Israeli",1
"Brazilian","Swiss",1
"Brazilian","Ukrainian",1
"Brazilian","Yugoslav",1
"British","American",16
"British","Austrian",6
"British","Belgian",5
"British","Brazilian",1
"British","Czech",2
"British","Danish",2
"British","Dutch",6
"British","English",4
"British","Flemish",1
"British","French",12
"British","Georgian",1
"British","German",10
"British","Greek",1
"British","Hungarian",2
"British","Israeli",2
"British","Italian",7
"British","Japanese",1
"British","Latvian",1
"British","Mexican",4
"British","Milanese",1
"British","Netherlandish",1
"British","Norwegian",2
"British","Polish",2
"British","Romanian",1
"British","Russian",5
"British","Russian-Lithuanian",1
"British","Scottish",2
"British","Spanish",9
"British","Swedish",3
"British","Swiss",7
"British","Ukrainian",1
"British","Yugoslav",1
"Czech","American",4
"Czech","Austrian",2
"Czech","Belgian",1
"Czech","British",2
"Czech","Dutch",1
"Czech","English",1
"Czech","Finnish",1
"Czech","French",3
"Czech","Georgian",1
"Czech","German",3
"Czech","Italian",4
"Czech","Latvian",1
"Czech","Polish",1
"Czech","Russian",2
"Czech","Russian-Lithuanian",1
"Czech","Spanish",2
"Czech","Swedish",3
"Czech","Swiss",2
"Danish","American",2
"Danish","Austrian",2
"Danish","Belgian",2
"Danish","British",2
"Danish","Dutch",1
"Danish","English",1
"Danish","Flemish",1
"Danish","French",2
"Danish","German",2
"Danish","Hungarian",1
"Danish","Israeli",1
"Danish","Italian",1
"Danish","Mexican",1
"Danish","Milanese",1
"Danish","Netherlandish",1
"Danish","Romanian",1
"Danish","Russian",2
"Danish","Scottish",1
"Danish","Spanish",1
"Danish","Swedish",1
"Danish","Swiss",1
"Dutch","American",10
"Dutch","Austrian",5
"Dutch","Belgian",3
"Dutch","Brazilian",1
"Dutch","British",6
"Dutch","Czech",1
"Dutch","Danish",1
"Dutch","English",2
"Dutch","Flemish",2
"Dutch","French",10
"Dutch","Georgian",1
"Dutch","German",8
"Dutch","Greek",1
"Dutch","Hungarian",1
"Dutch","Israeli",2
"Dutch","Italian",6
"Dutch","Latvian",1
"Dutch","Mexican",3
"Dutch","Milanese",1
"Dutch","Netherlandish",1
"Dutch","Polish",1
"Dutch","Romanian",1
"Dutch","Russian",2
"Dutch","Spanish",8
"Dutch","Swedish",2
"Dutch","Swiss",6
"Dutch","Ukrainian",1
"Dutch","Yugoslav",1
"English","American",5
"English","Austrian",3
"English","Belgian",1
"English","Brazilian",1
"English","British",4
"English","Czech",1
"English","Danish",1
"English","Dutch",2
"English","Flemish",1
"English","French",4
"English","German",5
"English","Hungarian",1
"English","Israeli",2
"English","Italian",2
"English","Mexican",1
"English","Milanese",1
"English","Netherlandish",1
"English","Romanian",1
"English","Russian",2
"English","Russian-Lithuanian",1
"English","Scottish",1
"English","Spanish",2
"English","Swedish",2
"English","Swiss",3
"English","Ukrainian",1
"English","Yugoslav",1
"Finnish","American",1
"Finnish","Austrian",1
"Finnish","Czech",1
"Finnish","French",1
"Finnish","German",1
"Finnish","Italian",1
"Finnish","Swedish",1
"Flemish","American",2
"Flemish","Austrian",1
"Flemish","Belgian",1
"Flemish","British",1
"Flemish","Danish",1
"Flemish","Dutch",2
"Flemish","English",1
"Flemish","French",2
"Flemish","German",2
"Flemish","Israeli",1
"Flemish","Italian",2
"Flemish","Mexican",2
"Flemish","Milanese",1
"Flemish","Netherlandish",1
"Flemish","Romanian",1
"Flemish","Russian",1
"Flemish","Spanish",2
"Flemish","Swedish",1
"Flemish","Swiss",1
"French","American",23
"French","Austrian",10
"French","Belgian",5
"French","Brazilian",1
"French","British",12
"French","Czech",3
"French","Danish",2
"French","Dutch",10
"French","English",4
"French","Finnish",1
"French","Flemish",2
"French","Georgian",1
"French","German",18
"French","Greek",1
"French","Hungarian",2
"French","Israeli",2
"French","Italian",13
"French","Latvian",1
"French","Mexican",5
"French","Milanese",1
"French","Netherlandish",1
"French","Norwegian",2
"French","Polish",2
"French","Romanian",1
"French","Russian",6
"French","Russian-Lithuanian",1
"French","Scottish",1
"French","Spanish",15
"French","Swedish",5
"French","Swiss",7
"French","Ukrainian",1
"French","Yugoslav",1
"Georgian","American",1
"Georgian","Belgian",1
"Georgian","British",1
"Georgian","Czech",1
"Georgian","Dutch",1
"Georgian","French",1
"Georgian","German",1
"Georgian","Italian",1
"Georgian","Latvian",1
"Georgian","Polish",1
"Georgian","Russian",1
"Georgian","Spanish",1
"Georgian","Swedish",1
"Georgian","Swiss",1
"German","American",20
"German","Austrian",10
"German","Belgian",4
"German","Brazilian",1
"German","British",10
"German","Czech",3
"German","Danish",2
"German","Dutch",8
"German","English",5
"German","Finnish",1
"German","Flemish",2
"German","French",18
"German","Georgian",1
"German","Greek",1
"German","Hungarian",2
"German","Israeli",2
"German","Italian",13
"German","Latvian",1
"German","Mexican",5
"German","Milanese",1
"German","Netherlandish",1
"German","Norwegian",2
"German","Polish",2
"German","Romanian",1
"German","Russian",6
"German","Russian-Lithuanian",1
"German","Scottish",2
"German","Spanish",14
"German","Swedish",5
"German","Swiss",6
"German","Ukrainian",1
"German","Yugoslav",1
"Greek","American",1
"Greek","British",1
"Greek","Dutch",1
"Greek","French",1
"Greek","German",1
"Greek","Italian",1
"Greek","Spanish",1
"Greek","Swiss",1
"Hungarian","American",2
"Hungarian","Austrian",2
"Hungarian","Belgian",1
"Hungarian","Brazilian",1
"Hungarian","British",2
"Hungarian","Danish",1
"Hungarian","Dutch",1
"Hungarian","English",1
"Hungarian","French",2
"Hungarian","German",2
"Hungarian","Israeli",1
"Hungarian","Russian",1
"Hungarian","Scottish",1
"Hungarian","Swiss",1
"Hungarian","Ukrainian",1
"Hungarian","Yugoslav",1
"Israeli","American",2
"Israeli","Austrian",2
"Israeli","Belgian",1
"Israeli","Brazilian",1
"Israeli","British",2
"Israeli","Danish",1
"Israeli","Dutch",2
"Israeli","English",2
"Israeli","Flemish",1
"Israeli","French",2
"Israeli","German",2
"Israeli","Hungarian",1
"Israeli","Italian",1
"Israeli","Mexican",1
"Israeli","Milanese",1
"Israeli","Netherlandish",1
"Israeli","Romanian",1
"Israeli","Russian",1
"Israeli","Spanish",1
"Israeli","Swedish",1
"Israeli","Swiss",2
"Israeli","Ukrainian",1
"Israeli","Yugoslav",1
"Italian","American",14
"Italian","Austrian",6
"Italian","Belgian",3
"Italian","British",7
"Italian","Czech",4
"Italian","Danish",1
"Italian","Dutch",6
"Italian","English",2
"Italian","Finnish",1
"Italian","Flemish",2
"Italian","French",13
"Italian","Georgian",1
"Italian","German",13
"Italian","Greek",1
"Italian","Israeli",1
"Italian","Latvian",1
"Italian","Mexican",5
"Italian","Milanese",1
"Italian","Netherlandish",1
"Italian","Norwegian",2
"Italian","Polish",2
"Italian","Romanian",1
"Italian","Russian",4
"Italian","Russian-Lithuanian",1
"Italian","Spanish",12
"Italian","Swedish",4
"Italian","Swiss",5
"Japanese","American",1
"Japanese","British",1
"Japanese","Mexican",1
"Latvian","American",1
"Latvian","Belgian",1
"Latvian","British",1
"Latvian","Czech",1
"Latvian","Dutch",1
"Latvian","French",1
"Latvian","Georgian",1
"Latvian","German",1
"Latvian","Italian",1
"Latvian","Polish",1
"Latvian","Russian",1
"Latvian","Spanish",1
"Latvian","Swedish",1
"Latvian","Swiss",1
"Mexican","American",6
"Mexican","Austrian",3
"Mexican","Belgian",2
"Mexican","British",4
"Mexican","Danish",1
"Mexican","Dutch",3
"Mexican","English",1
"Mexican","Flemish",2
"Mexican","French",5
"Mexican","German",5
"Mexican","Israeli",1
"Mexican","Italian",5
"Mexican","Japanese",1
"Mexican","Milanese",1
"Mexican","Netherlandish",1
"Mexican","Norwegian",1
"Mexican","Polish",1
"Mexican","Romanian",1
"Mexican","Russian",2
"Mexican","Spanish",5
"Mexican","Swedish",1
"Mexican","Swiss",2
"Milanese","American",1
"Milanese","Austrian",1
"Milanese","Belgian",1
"Milanese","British",1
"Milanese","Danish",1
