"Source","Target","Weight"
"American","Austrian",1
"American","Belgian",2
"American","British",4
"American","Czech",2
"American","Dutch",8
"American","Finnish",1
"American","French",12
"American","German",10
"American","Guatemalan",1
"American","Italian",8
"American","Mexican",5
"American","Russian",2
"American","Spanish",8
"American","Swedish",1
"American","Swiss",2
"Austrian","American",1
"Austrian","German",1
"Austrian","Italian",1
"Belgian","American",2
"Belgian","British",2
"Belgian","Czech",1
"Belgian","Dutch",2
"Belgian","Finnish",1
"Belgian","French",2
"Belgian","German",2
"Belgian","Italian",2
"Belgian","Mexican",1
"Belgian","Russian",1
"Belgian","Spanish",2
"Belgian","Swedish",1
"Belgian","Swiss",1
"British","American",4
"British","Belgian",2
"British","Czech",1
"British","Dutch",2
"British","Finnish",1
"British","French",3
"British","German",3
"British","Italian",2
"British","Mexican",1
"British","Russian",1
"British","Spanish",2
"British","Swedish",1
"British","Swiss",1
"Czech","American",2
"Czech","Belgian",1
"Czech","British",1
"Czech","Dutch",2
"Czech","Finnish",1
"Czech","French",2
"Czech","German",1
"Czech","Italian",1
"Czech","Russian",1
"Czech","Spanish",1
"Czech","Swedish",1
"Czech","Swiss",1
"Dutch","American",8
"Dutch","Belgian",2
"Dutch","British",2
"Dutch","Czech",2
"Dutch","Finnish",1
"Dutch","French",8
"Dutch","German",7
"Dutch","Italian",6
"Dutch","Mexican",2
"Dutch","Russian",2
"Dutch","Spanish",6
"Dutch","Swedish",1
"Dutch","Swiss",2
"Finnish","American",1
"Finnish","Belgian",1
"Finnish","British",1
"Finnish","Czech",1
"Finnish","Dutch",1
"Finnish","French",1
"Finnish","German",1
"Finnish","Italian",1
"Finnish","Russian",1
"Finnish","Spanish",1
"Finnish","Swedish",1
"Finnish","Swiss",1
"French","American",12
"French","Belgian",2
"French","British",3
"French","Czech",2
"French","Dutch",8
"French","Finnish",1
"French","German",9
"French","Italian",9
"French","Mexican",2
"French","Russian",2
"French","Spanish",9
"French","Swedish",1
"French","Swiss",3
"German","American",10
"German","Austrian",1
"German","Belgian",2
"German","British",3
"German","Czech",1
"German","Dutch",7
"German","Finnish",1
"German","French",9
"German","Italian",7
"German","Mexican",2
"German","Russian",2
"German","Spanish",6
"German","Swedish",1
"German","Swiss",2
"Guatemalan","American",1
"Guatemalan","Mexican",1
"Italian","American",8
"Italian","Austrian",1
"Italian","Belgian",2
"Italian","British",2
"Italian","Czech",1
"Italian","Dutch",6
"Italian","Finnish",1
"Italian","French",9
"Italian","German",7
"Italian","Mexican",2
"Italian","Russian",2
"Italian","Spanish",9
"Italian","Swedish",1
"Italian","Swiss",2
"Mexican","American",5
"Mexican","Belgian",1
"Mexican","British",1
"Mexican","Dutch",2
"Mexican","French",2
"Mexican","German",2
"Mexican","Guatemalan",1
"Mexican","Italian",2
"Mexican","Russian",1
"Mexican","Spanish",3
"Russian","American",2
"Russian","Belgian",1
"Russian","British",1
"Russian","Czech",1
"Russian","Dutch",2
"Russian","Finnish",1
"Russian","French",2
"Russian","German",2
"Russian","Italian",2
"Russian","Mexican",1
"Russian","Spanish",2
"Russian","Swedish",1
"Russian","Swiss",1
"Spanish","American",8
"Spanish","Belgian",2
"Spanish","British",2
"Spanish","Czech",1
"Spanish","Dutch",6
"Spanish","Finnish",1
"Spanish","French",9
"Spanish","German",6
"Spanish","Italian",9
"Spanish","Mexican",3
"Spanish","Russian",2
"Spanish","Swedish",1
"Spanish","Swiss",2
"Swedish","American",1
"Swedish","Belgian",1
"Swedish","British",1
"Swedish","Czech",1
"Swedish","Dutch",1
"Swedish","Finnish",1
"Swedish","French",1
"Swedish","German",1
"Swedish","Italian",1
"Swedish","Russian",1
"Swedish","Spanish",1
"Swedish","Swiss",1
"Swiss","American",2
"Swiss","Belgian",1
"Swiss","British",1
"Swiss","Czech",1
"Swiss","Dutch",2
"Swiss","Finnish",1
"Swiss","French",3
"Swiss","German",2
"Swiss","Italian",2
"Swiss","Russian",1
"Swiss","Spanish",2
"Swiss","Swedish",1
