"Source","Target","Weight"
"American","Argentine",4
"American","Austrian",12
"American","Belgian",9
"American","Bolivian",3
"American","Brazilian",7
"American","British",36
"American","Canadian",4
"American","Catalan",1
"American","Chilean",8
"American","Colombian",1
"American","Cuban",3
"American","Czech",1
"American","Danish",2
"American","Dutch",20
"American","Ecuadorian",3
"American","English",4
"American","Finnish",8
"American","Flemish",1
"American","Florentine",1
"American","French",57
"American","German",41
"American","Guatemalan",3
"American","Hungarian",3
"American","Irish",2
"American","Israeli",2
"American","Italian",23
"American","Japanese",1
"American","Latvian",1
"American","Mexican",25
"American","Norwegian",2
"American","Peruvian",3
"American","Polish",1
"American","Russian",11
"American","Russian-Lithuanian",1
"American","Scottish",1
"American","Spanish",32
"American","Swedish",7
"American","Swiss",14
"American","Uruguayan",1
"American","Venetian",1
"Argentine","American",4
"Argentine","Austrian",2
"Argentine","Belgian",2
"Argentine","Bolivian",1
"Argentine","Brazilian",2
"Argentine","British",3
"Argentine","Chilean",2
"Argentine","Colombian",1
"Argentine","Cuban",1
"Argentine","Dutch",1
"Argentine","Ecuadorian",1
"Argentine","English",1
"Argentine","Finnish",1
"Argentine","French",3
"Argentine","German",3
"Argentine","Guatemalan",1
"Argentine","Hungarian",2
"Argentine","Irish",1
"Argentine","Israeli",1
"Argentine","Italian",3
"Argentine","Mexican",3
"Argentine","Peruvian",1
"Argentine","Russian",1
"Argentine","Russian-Lithuanian",1
"Argentine","Spanish",4
"Argentine","Swedish",2
"Argentine","Swiss",1
"Argentine","Uruguayan",1
"Austrian","American",12
"Austrian","Argentine",2
"Austrian","Belgian",7
"Austrian","Bolivian",1
"Austrian","Brazilian",5
"Austrian","British",11
"Austrian","Catalan",1
"Austrian","Chilean",4
"Austrian","Cuban",2
"Austrian","Danish",1
"Austrian","Dutch",8
"Austrian","Ecuadorian",1
"Austrian","English",2
"Austrian","Finnish",2
"Austrian","French",12
"Austrian","German",10
"Austrian","Guatemalan",1
"Austrian","Irish",1
"Austrian","Israeli",1
